water81   water80   income   educat   peop81   retired
 4200      5600      30       16       5        0
 2400      2700      50       16       6        0
 1600      2300      10       14       4        0
 2300      2300      35       16       4        0
  600       600      15       20       1        0
 5400      2900      35       16       6        0
 1500      1400      21       15       2        1
 1000      4700      10       18       1        1
 2000      2500      15       16       2        1
  100      1000      15       12       1        0
 2600      2800      60       20       2        0
 3000      3500      35       20       5        0
 7100      5900      20       12      10        1
 2800      2900      40       14       3        0
 1900      1700      10        8       1        1
 2500      2800      25       11       4        0
 2700      2400      23       10       4        1
 1800      1900       5       10       2        1
 1100      1800      20       20       2        1
 2400      3200      40       16       4        1
 1700      1900      25       20       2        1
 1700      2600      25       13       2        0
 7900      4000      90       18       5        0
 2600      3300      30       12       2        0
 1900      2000      12       18       2        1
 2000      2100      24       16       2        1
 1900      1600      30       20       2        0
  400       500      11       11       1        1
10100      8600      45       16       5        0
 9200      6300     100       16       3        0
 1000      1000      25       12       2        0
 3300      3900      25       16       5        0
 2000      4100      50       20       2        1
 2500      4500      20       12       3        0
 3100      2300      40       12       5        0
 1000      1000       5       16       1        1
 2200      2200      30       16       3        0
 1500      4500      25       20       5        0
 1100      1400      10       12       2        1
 5300      5200      10       12       5        0
 1800      1900      20       14       2        0
 1000      1600       7       13       1        1
 1700      1300      35       12       2        0
 1700      1900      45       16       2        0
 5500      4100      60       13       2        1
 1700      1800      35       16       4        0
 1600      2100      30       20       2        1
 3500      3800      35       14       3        0
 1400      1700      23       15       4        0
 2500      3700      15       14       4        0
 2400      3000      41       16       4        0
 3700      5300       5       14       1        1
 2000      2400      20       12       2        0
 3000      3400      20       12       3        1
 3600      5300      15       16       7        0
 2400      2500      15       13       3        0
 1200      1300      30       12       2        0
 1500      1900      15       14       4        0
 2400      2700      20       20       3        0
 4800      7400      15       14       2        0
  500      2000      15       13       1        1
 2600      4000      20       12       5        0
 1000      1300      30       13       2        1
 1000      1200      22       13       2        0
 4100      4300      55       16       5        0
 1900      2300      30       12       2        0
  200       400       8       12       1        1
 2600      5600      10       12       7        0
  500       500       6       12       1        1
 1800      1900      35       20       3        0
 1200      1600      30       13       2        0
 1000      1000      10       20       2        1
 1300      1900      30       20       3        0
 2100      2900      30       16       4        0
 3700      3900      14       16       1        1
 1000      1200      30       20       2        0
 2800      3200      45       16       5        0
 2600      2700      50       13       3        0
  800       700       5       12       1        1
  100      1300      10        9       2        1
 2600      3100      15       12       4        0
  400      1100      15       12       2        1
 2200      2100      45       16       2        0
 1600      2200      40       12       2        0
 1000      1400       8        8       1        1
 1900      4200      20       16       2        0
 1500      1900      10       12       2        1
 1700      2100       5        8       4        0
 2800      2700      30       13       5        0
 1000      1300       8       10       1        1
 3100      4000      45       14       3        0
 2200      2500      25       16       6        0
 2300      2100      10       14       4        0
  700      1300       8       12       2        1
 1000      1000       7       11       2        1
  300      1100      18        3       1        1
 1100      1000      25       20       1        1
 2300      2500       9        8       3        1
 7200      8700      33       12       8        0
 1800      1000      25       12       2        0
 3700      4600      25       10       4        1
 3600      4500      25       14       5        0
 3700      4100      14       12       8        0
 2000      1600      24       12       3        0
 1200      1900      15       12       2        0
 1900      2200      20       11       4        0
 1000      2100      10       12       2        1
 4000      4100      15       16       5        0
 1400      1900      15       20       1        0
 2800      3700      25       12       5        0
 2500      3700      20       10       4        0
 3200      3300      20       18       4        1
 2300      2000       5        8       2        1
 4900      6600      40       14       7        0
 1600      1600      25       12       4        0
 1000      2500      10       12       3        0
 1300      1800      25       13       3        0
 3800      5500      35       14       2        0
 2100      1900      20       13       2        0
 1100      1000      25       16       3        1
 1000      1100      35       16       2        0
 2500      3800      28       20       3        0
 3800      3900      45       14       4        0
 4000      4800       5       12       6        1
 1600      2400      25       14       5        0
 4700      5300      25       12       2        1
 1000       700      30       18       1        1
 1100      1000       5       12       2        1
 2800      3000      20       12       2        0
 1300      2300      30       12       2        0
 3700      5000       6        8       9        1
  600      1000      20       12       3        0
 1000      1700      15       12       1        0
 2600      3700      30       14       4        0
 2100      2900      25       14       4        0
 1700      1900      25       12       3        0
 6500      8400      50       16       6        0
 1500      1600      45       14       3        1
 1600      3100      27       14       2        0
 2600      2300      17       11       2        1
 3000      3700      45       12       5        0
 1200      1500       5       12       2        1
 1000      1200      20        9       4        0
 3200      4000      25       14       4        0
 1200      2100      15       20       2        1
 2500      2500      35       16       3        0
 1600      2300      30       14       2        0
 2500      2800      30       13       5        0
 1300      1400       5       20       3        0
 1200      2200      20       13       3        0
 2100      2100      25       14       3        0
  600      1000      14       12       1        0
 2200      3400      45       16       3        0
 1500      1800      10       16       1        0
  800      1000       9       11       1        1
 1800      4400      20       20       2        0
 1000      1000       6       12       2        1
 1800      1800      25       14       2        1
 2000      1700      15       18       2        1
 1800      2300      35       14       3        0
 3100      3000      45       16       6        0
  600      1100       5       18       3        1
  600       700      20       20       2        1
  800      1100       5       18       1        1
 1900      2700      30       13       3        0
 1600      2100      18       20       1        0
  600      1000      10       20       1        1
 4400      5600      20       12       2        0
 1500      1700      45       12       2        0
 2600      1400      45       14       6        0
 1800      3100      39       20       6        0
 1500      1800      40       14       4        0
 4600      5100      15       12       4        1
 1500      1800      22       12       2        0
 2300      2600      25       14       5        0
 5300      5800      25       14       5        0
 4600      3600      40       11       7        0
 1500      3800      10       12       2        0
 1600      1600      20       12       2        0
 1700      2400      30       12       3        0
 2300      3100      25       18       3        0
 2700      3200      15       14       1        0
 2100      2100      35       16       2        0
 1800      1900      50       14       2        0
 1800      2500       5        7       1        0
 3000      5100      68       20       4        0
 2800      3000      20       14       5        0
 1000      2000      40       20       2        0
 3100      2600      45       18       6        0
 3900      5000      32       11       5        0
 3200      4300      58       16       5        0
 1000      1600      10       12       3        1
 3400      2700      52       20       5        0
 1800      2900      26       12       5        0
 2200      2300      25       13       4        0
 1500      2900      20       16       5        0
 3100      3300      25       18       8        0
  700       800      15       20       1        0
 4700      4500      26       11       4        0
  900      2800      30       14       3        0
 2600      2300      21       12       3        1
 2100      1600      15       13       2        0
 2000      2200      15       14       3        0
 1700      1400      15       12       5        0
 4700      8300      38       16       4        0
 1800      1900      30       13       4        0
 1200      1300      40       18       5        0
 3900      4400      35       16       4        0
  500      1000      15       13       1        0
 2500      2200      30       20       4        0
 2400      2400      20       20       4        0
 1000      1400      30       14       1        0
 2400      3700      20       12       4        0
 1100      1300      17        9       2        0
 3800      2400      30       12       7        0
 2400      2100      20       16       5        0
 2700      2300      20       16       3        0
 2300      2400      10       16       2        1
 1900      2400      15       13       4        0
 2100      1900      10       10       5        1
 1500      1800      20       16       4        0
 2400      3100      25       16       3        0
 2500      3300      25       18       3        0
 1500      4600      15       15       2        0
 4100      5400      25       12       3        0
 3100      2600       2       10       1        1
 4000      3600      31       12       5        0
 2200      2400      15       11       3        0
 1700      4700      13       11       3        0
 6100      3700      25       16       7        0
 1000      1000       5        8       2        1
 1400      1600      25       16       3        0
 1700      1800      30       12       3        0
 1200      1800      20       14       3        0
  100       200       2       11       1        1
  800       700       5       12       2        1
 1200      1000      25        9       1        0
 2000      1400      10       12       2        0
 1000       800      15       12       1        1
 2600      2100      30       11       4        0
 3500      2100      20       12       5        0
 1000      1800      15       14       1        1
 1200       700      10       16       1        1
 2100      3300      15       12       3        1
 2900      5900      30       12       3        0
 2900      5100      25       16       4        0
 4100      4300      36       12       7        0
 3200      4800      15       14       4        0
  500      1100      10        9       1        0
 2200      1500      20       13       3        0
 2300      2300      25        8       2        0
 4100      4100      40       14       4        0
 1700      3900      25       12       3        0
 1100       800       5       12       2        0
  700       700      12       11       1        1
  800      1000       3       11       1        1
  200      1500      10        8       1        0
  400       400      25       20       1        1
  800       700      10       14       1        1
 2800      2900      25        8       4        0
 1300       700       6       11       2        1
 6100      6200      19       11       4        1
 1500      1800      20       12       3        0
 1000      1300      25       12       2        1
 3100      3600      25       20       4        0
 3100      2600      20       14       1        1
 1900      7800      10       16       1        0
 5600      6100      37       14       4        0
 4000      2800      25       16       4        0
 2900      3700      25       12       5        0
  500       700       5       14       1        0
 2400      2000      15       16       4        0
 3600      3700      30       14       4        0
 2300      2600      20       12       2        0
 1100      1200      14       13       2        1
 1300      1300       5       19       3        1
  800       800      10       11       2        1
 2500      3800      30       16       2        1
 1300      1000      25       12       2        0
  300       300       5       14       1        1
 1200      1300      35       20       3        0
 3100      2300      15       12       3        0
 2900      3100      13       11       4        0
 1300      1400      10        8       2        1
 3300      3900      25       12       7        0
 3900      2500      20        9       2        0
 1400      1700      10       13       4        0
 1600      2200      15       13       4        0
 1000      1200      15       12       2        0
 1600       500      14       13       1        0
 1700      2000      35        8       2        1
 2100      1600      15       13       3        1
 2100       600      25       14       2        0
 2100      1900       7       12       2        1
 1300      1300      15       12       2        1
 2600      2300      15       16       3        0
 1900      2000      10       16       2        1
 1200      1300      25       14       4        0
  600       500      25       18       1        0
 1700      2100      20       12       2        0
  200       300       4       11       1        1
  800      1000      15        8       1        1
 1100      1400      45       16       2        1
 1800      1200      20       14       3        0
 1000      2300      18       10       2        0
 5800      5600      15       14       6        0
 2100      2200      15       16       4        1
 1500      1400      20       20       2        0
 3900      3500      25       12       7        0
 2700      3000      45       12       2        1
  700      1000       8       12       2        0
  400       400       5       12       1        1
 4300      7800      30       13       3        0
 1800      1600      10       12       2        1
 1100      1400       5       10       2        1
 1000      1700       5       10       1        1
 2400      4700      15       12       4        0
 2300      4300      20       13       2        0
 2300      3400      20       20       5        0
 2500      3200      23       13       4        0
 2600      2300      20       13       3        0
  800      4200      30       14       1        0
 2900      3800      20       11       4        0
 2700      3700      25       12       4        0
 3500      3400      40       16       4        0
 1800      1600      20       20       3        0
 1500      1800      25       18       4        0
 2400      2500      23       12       4        0
  500       200       5       14       1        1
 2600      3400      33       16       3        0
 3700      3500      22       12       6        0
 3100      2800      30       14       3        0
 1600      1700      12       12       2        0
 2200      1800      25       13       2        0
 1000      1900       5       11       1        1
 1000      1100      25       12       4        0
 4200      4200      10       16       5        0
 2000      2800      15       16       3        0
 2100      2700      15       12       2        0
 5600      4500      26       12       4        0
 1800      1000      10       16       3        0
 3600      3700      30       18       7        0
  800       700      14       13       2        1
 3200      3900      24       12       8        0
 1900      1700      11       12       3        0
 2900      3300      20       12       5        0
 2200      3000      45       12       1        0
  700      1200      10       14       1        1
 1600      1700      23       14       3        0
 3400      5800      12       11       5        1
 6900      8700      30       14       5        0
 2900      5100      15       13       3        0
 2900      3600      25       12       2        0
 2300      3200      24       13       4        0
 1500      2900      25       12       2        0
 8100     10300      25       14       6        0
 4100      5200      30       18       4        0
 2600      3900      18       10       2        1
 2400      3000      15       14       4        0
 3500      5700      30       20       4        0
 1500      3300       5        8       2        1
 2800      2800      30       16       3        0
 4200      4100      30       12       6        0
 3200      6400      30       16       3        0
  600       700       3        6       2        1
 1500      2000      20       14       2        1
 4300      4900      21       11       5        0
  600      1700      10       20       1        1
 1700      1500      25       12       3        0
 3400      6100      30       14       3        0
 2100      5700      15       12       3        0
 2900      3000      15       14       3        0
 1100      1400      10       11       1        1
 2300      3300      25       13       2        0
 1000      2100      17       11       3        0
 1800      2500      28       18       4        0
 3000      5800      10       13       2        1
 4100      4000      25       14       2        0
 3500      3400      45       12       2        0
 2800      6300      25       12       5        0
 1100      1600      15       11       1        1
 3700      7700      20       12       2        0
 2600      4700      30       16       5        0
 1100      1100      20       20       2        0
 1800      1000      10       16       1        1
 3400      4700      18       13       5        0
 4000      7900      25       12       4        0
 2800      5700      30       16       4        0
 3400      4000      33       20       2        0
 1900      3500      20       20       1        0
 3000      6800      40       14       4        0
 2500      3100      40       16       2        0
 3000      3600      25       16       4        0
 3400      6500      35       20       3        0
 1600      2900      15       14       3        0
 1800      2100      15       16       4        0
 2800      4400      20       16       2        0
 3600      3600      23       12       4        0
 1100      4700      45       16       2        0
 2800      1900      25       16       2        0
 2400      4300      53       14       4        0
